Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:12:44.432Z,1628647964.432,0.011711 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.652466 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.039262 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:44.833Z,1628647964.833,0.012751 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.622650 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.040771 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:45.234Z,1628647965.234,0.013849 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.577942 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.041579 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:45.635Z,1628647965.635,0.015018 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.533264 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.041697 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:46.037Z,1628647966.037,0.016264 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.503448 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.041151 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:46.437Z,1628647966.437,0.017541 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.473633 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.040044 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:46.838Z,1628647966.838,0.018892 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.443848 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.038448 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:47.239Z,1628647967.239,0.020285 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.414032 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.036523 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:47.641Z,1628647967.641,0.021754 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.399139 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.034365 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:48.041Z,1628647968.041,0.023248 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.369324 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.032193 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:48.443Z,1628647968.443,0.024834 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.354431 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.030067 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:48.843Z,1628647968.843,0.026432 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.324646 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.028237 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:49.244Z,1628647969.244,0.028082 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.294830 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.026777 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:49.645Z,1628647969.645,0.029771 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.279938 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.025808 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:50.046Z,1628647970.046,0.031486 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.250122 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.025408 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:50.447Z,1628647970.447,0.033269 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.235229 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.025627 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:50.849Z,1628647970.849,0.035094 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.220337 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.026499 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:51.250Z,1628647971.250,0.036940 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.190521 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.027995 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:51.650Z,1628647971.650,0.038780 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.160706 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.030015 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:52.051Z,1628647972.051,0.040698 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.130920 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.032577 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:52.452Z,1628647972.452,0.042612 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.101105 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.035474 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:52.853Z,1628647972.853,0.044593 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.086212 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.038692 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:53.255Z,1628647973.255,0.046592 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.056396 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.042016 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:53.655Z,1628647973.655,0.048598 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.011719 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.045282 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:54.056Z,1628647974.056,0.050634 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.981903 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.048391 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:54.457Z,1628647974.457,0.052695 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.952118 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.051205 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:54.858Z,1628647974.858,0.054797 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.907410 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.053630 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:55.259Z,1628647975.259,0.056898 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.862701 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.055534 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:55.660Z,1628647975.660,0.059054 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.832886 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.056907 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:56.062Z,1628647976.062,0.061219 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.788177 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.057682 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:56.462Z,1628647976.462,0.063396 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.743500 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.057881 arcdeg,0.000000 arcdeg,0.000000 arcdeg
